date,total_count,count,ratio,phrase,category,month
2023-07-06,493339,58,0.00011756621714480307,aging crisis,limiting,2023-07
2023-07-07,463370,53,0.00011437943759846343,aging crisis,limiting,2023-07
2023-07-08,305403,24,7.858468973782183e-05,aging crisis,limiting,2023-07
2023-07-09,291177,22,7.555541818206796e-05,aging crisis,limiting,2023-07
2023-07-10,454453,80,0.0001760358056828759,aging crisis,limiting,2023-07
2023-07-11,492786,37,7.508330187951768e-05,aging crisis,limiting,2023-07
2023-07-12,495376,57,0.00011506411291624948,aging crisis,limiting,2023-07
2023-07-13,488915,45,9.204053874395345e-05,aging crisis,limiting,2023-07
2023-07-14,449795,34,7.558999099589813e-05,aging crisis,limiting,2023-07
2023-07-15,300453,19,6.323784418860853e-05,aging crisis,limiting,2023-07
2023-07-16,288895,30,0.00010384395714706036,aging crisis,limiting,2023-07
2023-07-17,452038,192,0.00042474305257522596,aging crisis,limiting,2023-07
2023-07-18,489747,97,0.00019806144805379104,aging crisis,limiting,2023-07
2023-07-19,486941,65,0.00013348639773607068,aging crisis,limiting,2023-07
2023-07-20,476929,39,8.17731779782735e-05,aging crisis,limiting,2023-07
2023-07-21,454340,34,7.483382488884977e-05,aging crisis,limiting,2023-07
2023-07-22,300123,18,5.9975410081866435e-05,aging crisis,limiting,2023-07
2023-07-23,292470,28,9.573631483570965e-05,aging crisis,limiting,2023-07
2023-07-24,453290,45,9.927419532749453e-05,aging crisis,limiting,2023-07
2023-07-25,481260,160,0.00033246062419482194,aging crisis,limiting,2023-07
2023-07-26,491615,133,0.00027053690387803463,aging crisis,limiting,2023-07
2023-07-27,487834,42,8.609486013684983e-05,aging crisis,limiting,2023-07
2023-07-28,459847,55,0.00011960499905403319,aging crisis,limiting,2023-07
2023-07-29,299402,29,9.685974041589568e-05,aging crisis,limiting,2023-07
2023-07-30,284070,27,9.504699545886577e-05,aging crisis,limiting,2023-07
2023-07-31,455803,122,0.0002676594932459857,aging crisis,limiting,2023-07
2023-08-01,477822,93,0.00019463314790863544,aging crisis,limiting,2023-08
2023-08-02,477375,68,0.00014244566640481802,aging crisis,limiting,2023-08
2023-08-03,477836,58,0.00012138055734603504,aging crisis,limiting,2023-08
2023-08-04,448645,37,8.247055021230595e-05,aging crisis,limiting,2023-08
2023-08-05,300483,113,0.0003760612081215909,aging crisis,limiting,2023-08
2023-08-06,287612,22,7.649194053099314e-05,aging crisis,limiting,2023-08
2023-08-07,440347,34,7.721183521177617e-05,aging crisis,limiting,2023-08
2023-08-08,469410,51,0.00010864702498881575,aging crisis,limiting,2023-08
2023-08-09,478458,38,7.942180922881423e-05,aging crisis,limiting,2023-08
2023-08-10,476103,54,0.00011342083540746435,aging crisis,limiting,2023-08
2023-08-11,439680,48,0.0001091703056768559,aging crisis,limiting,2023-08
2023-08-12,302092,41,0.0001357202441640295,aging crisis,limiting,2023-08
2023-08-13,287942,19,6.598551097095943e-05,aging crisis,limiting,2023-08
2023-08-14,440043,63,0.00014316782678056462,aging crisis,limiting,2023-08
2023-08-15,470864,59,0.00012530157327805906,aging crisis,limiting,2023-08
2023-08-16,468638,99,0.00021125047478010747,aging crisis,limiting,2023-08
